片名,导演演员信息,发行日期,国家/地区,评分,评论
肖申克的救赎,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...,1994 , 美国 ,9.6,希望让人自由。
霸王别姬,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...,1993 , 中国大陆 香港 ,9.5,风华绝代。
这个杀手不太冷,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...,1994 , 法国 ,9.4,怪蜀黍和小萝莉不得不说的故事。
阿甘正传,导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise,1994 , 美国 ,9.4,一部美国近现代史。
美丽人生,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...,1997 , 意大利 ,9.5,最美的谎言。
千与千寻,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...,2001 , 日本 ,9.2,最好的宫崎骏，最好的久石让。 
泰坦尼克号,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...,1997 , 美国 ,9.2,失去的才是永恒的。 
辛德勒的名单,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...,1993 , 美国 ,9.4,拯救一个人，就是拯救整个世界。
盗梦空间,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...,2010 , 美国 英国 ,9.3,诺兰给了我们一场无法盗取的梦。
机器人总动员,导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...,2008 , 美国 ,9.3,小瓦力，大人生。
海上钢琴师,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...,1998 , 意大利 ,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...,2009 , 印度 ,9.2,英俊版憨豆，高情商版谢耳朵。
忠犬八公的故事,导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...,2009 , 美国 英国 ,9.2,永远都不能忘记你所爱的人。
放牛班的春天,导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...,2004 , 法国 瑞士 德国 ,9.2,天籁一般的童声，是最接近上帝的存在。 
大话西游之大圣娶亲,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,1995 , 香港 中国大陆 ,9.2,一生所爱。
教父,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...,1972 , 美国 ,9.2,千万不要记恨你的对手，这样会让你失去理智。
龙猫,导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...,1988 , 日本 ,9.1,人人心中都有个龙猫，童年就永远不会消失。
楚门的世界,导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,1998 , 美国 ,9.1,如果再也不能见到你，祝你早安，午安，晚安。
乱世佳人,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:托...,1939 , 美国 ,9.2,Tomorrow is another day.
熔炉,导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJeong...,2011 , 韩国 ,9.2,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
触不可及,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...,2011 , 法国 ,9.1,满满温情的高雅喜剧。
天堂电影院,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东娜拉·塔莉Antonel...,1988 , 意大利 法国 ,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
当幸福来敲门,导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...,2006 , 美国 ,8.9,平民励志片。 
星际穿越,导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...,2014 , 美国 英国 加拿大 冰岛 ,9.1,爱是一种力量，让我们超越时空感知它的存在。
无间道,导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生,2002 , 香港 ,9.0,香港电影史上永不过时的杰作。
怦然心动,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...,2010 , 美国 ,8.9,真正的幸福是来自内心深处。
十二怒汉,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957 , 美国 ,9.4,1957年的理想主义。 
搏击俱乐部,导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...,1999 , 美国 德国 ,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
少年派的奇幻漂流,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...,2012 , 美国 台湾 英国 加拿大 ,9.0,瑰丽壮观、无人能及的冒险之旅。
指环王3：王者无敌,导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...,2003 , 美国 新西兰 ,9.1,史诗的终章。
鬼子来了,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...,2000 , 中国大陆 ,9.2,对敌人的仁慈，就是对自己残忍。
蝙蝠侠：黑暗骑士,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,2008 , 美国 英国 ,9.0,无尽的黑暗。
活着,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang,1994 , 中国大陆 香港 ,9.1,张艺谋最好的电影。
天空之城,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...,1986 , 日本 ,9.0,对天空的追逐，永不停止。 
罗马假日,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...,1953 , 美国 ,8.9,爱情哪怕只有一天。
大话西游之月光宝盒,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,1995 , 香港 中国大陆 ,8.9,旷古烁今。
飞屋环游记,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...,2009 , 美国 ,8.9,最后那些最无聊的事情，才是最值得怀念的。 
两杆大烟枪,导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran,1998 , 英国 ,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
窃听风暴,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...,2006 , 德国 ,9.1,别样人生。
飞越疯人院,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...,1975 , 美国 ,9.0,自由万岁。
疯狂动物城,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...,2016 , 美国 ,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
控方证人,导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...,1957 , 美国 ,9.6,比利·怀德满分作品。
闻香识女人,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...,1992 , 美国 ,8.9,史上最美的探戈。
海豚湾,导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...,2009 , 美国 ,9.3,海豚的微笑，是世界上最高明的伪装。
