shortName,fullName,city,companySize,positionName,education,workYear,jobNature,salary,formatCreateTime,address,description
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,Python,本科,3-5年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
马蜂窝,北京蚂蜂窝网络科技有限公司,北京,500-2000人,高级Python开发工程师,本科,3-5年,全职,15k-30k,2018-02-08,," 弹性工作 扁平管理 氛围好 年度体检"
老虎证券,北京优虎商务服务有限公司,北京,150-500人,python开发工程师,本科,1-3年,全职,20k-40k,2018-02-07,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;机场线_三元桥," 绩效奖金 年底双薪 带薪年假 定期体检"
一亩田,北京一人一亩田网络科技有限公司,北京,150-500人,python开发工程师,本科,3-5年,全职,15k-25k,2018-02-06,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 节日礼物 年底双薪 专项奖金 股票期权"
Quantex,宽拓（北京）科技有限公司,北京,50-150人,Python,本科,3-5年,全职,20k-40k,2018-02-11,2号线_车公庄;2号线_西直门;4号线大兴线_新街口;4号线大兴线_西直门;4号线大兴线_动物园;6号线_车公庄;6号线_车公庄西," 技能培训 节日礼物 带薪年假 年度旅游"
智融集团,北京智融时代科技有限公司,北京,150-500人,Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-08,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 股票期权 绩效奖金 五险一金 带薪年假"
LinkDoc,零氪信息技术（北京）有限公司,北京,150-500人,Python,本科,1年以下,全职,13k-20k,2018-02-11,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,
今日头条,北京字节跳动科技有限公司,北京,500-2000人,高级python研发工程师,本科,1-3年,全职,20k-40k,1天前发布,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路," 扁平管理 弹性工作 大厨定制三餐 就近租房补贴"
360企业安全,北京奇安信科技有限公司,北京,2000人以上,python 开发工程师,不限,3-5年,全职,15k-30k,2018-02-12,14号线东段_望京南;14号线东段_将台," 年底双薪 带薪年假 午餐补助 定期体检"
小米,北京小米科技有限责任公司,北京,2000人以上,Python开发工程师-小米电视,本科,3-5年,全职,15k-25k,2018-02-06,13号线_上地," 快速成长 免费班车 扁平管理 技能培训"
家园网,金色家园网络科技有限公司,北京,2000人以上,高级python工程师,本科,5-10年,全职,20k-30k,2018-02-08,," 节日礼物 带薪年假 绩效奖金 管理规范"
摩尔妈妈,北京摩尔妈咪网络科技有限公司,北京,15-50人,Python工程师,本科,1-3年,全职,20k-40k,2018-01-25,14号线东段_东风北桥;14号线东段_枣营," 年底双薪 股票期权 定期体检 带薪年假"
洋葱数学,光合新知（北京）科技有限公司,北京,150-500人,Python,不限,1-3年,全职,15k-30k,1天前发布,," 产品领先行业 关注学习本源 明星跨界团队 股票期权"
